common_name,scientific_name,migrant,s_lci,s_med,s_uci,m_lci,m_med,m_uci,w_lci,w_med,w_uci,s_m_mig,m_w_mig,w_s_mig,hwi,mass,diet,precip_mean,precip_lq,precip_med,precip_hq,precip_breadth,temp_mean,temp_lq,temp_med,temp_hq,temp_breadth,wind_mean,wind_lq,wind_med,wind_hq,wind_breadth,s_mig,m_mig,w_mig,s_migrant,m_migrant,w_migrant,m_dist_abs,w_dist_abs,s_dist_abs
House Crow,Corvus_splendens,migrant,407,413.15,423.310125,401.59,406.62,408.41,410.81,417.285,424.62,-6.52999999999997,10.665,-4.13500000000005,36.3,292.6,Omnivore,168.94,0.18,87.38,845.32,845.14,24.81,15.25,25.55,29.85,14.6,2.62,0.9,2.37,5.8,4.9,0,0,10.665,0,0,1,6.52999999999997,10.665,4.13500000000005
Large-billed Crow,Corvus_macrorhynchos,migrant,809,818.015,836.5,617.25,636.45,640.59,750.29,765,775.09,-181.565,128.55,53.015,34.8,513.1,Omnivore,188.9,0.37,110.5,847.45,847.08,23.4,14.65,23.75,29.05,14.4,2.56,0.89,2.33,5.65,4.76,53.015,-181.565,128.55,1,1,1,181.565,128.55,53.015
Gray-headed Canary-Flycatcher,Culicicapa_ceylonensis,non-migrant,1625.41,1746.86,1814.7,1609.015,1647.06,1714.41,1559.52,1605.16,1660.15,-99.8,-41.8999999999999,141.7,18.9,7.7,Invertivore,168.35,1.51,128.19,566.82,565.31,18.34,12.55,18.25,24.75,12.2,2.9,1.06,2.73,6.02,4.95,0,0,0,0,0,0,99.8,41.8999999999999,141.7
Cinereous Tit,Parus_cinereus,migrant,907.45,939.25,952.18,769.88,818.97,858.92,815.16,839.84,871.03,-120.28,20.87,99.41,18.1,14.4,Invertivore,138.49,0.22,93.24,543.31,543.09,22.14,12.75,22.95,28.75,16,2.72,0.9,2.55,5.57,4.67,99.41,-120.28,0,1,1,0,120.28,20.87,99.41
White-naped Tit,Machlolophus_nuchalis,non-migrant,258.41,258.41,485.7,258.41,258.41,258.41,258.41,271.205,384.85,0,12.795,-12.795,14,13.8,Invertivore,61.66,0.14,44.68,223.94,223.8,28.11,24.45,28.05,32.6,8.15,2.07,1.07,1.98,3.58,2.5,0,0,0,0,0,0,0,12.795,12.795
Indian Yellow Tit,Machlolophus_aplonotus,migrant,874.63,902.295,913.11,848.97,860.6,873.79,856.18,866.06,873.79,-41.6949999999999,5.45999999999992,36.235,18.1,14.8,Invertivore,189.85,0.19,113.97,836.37,836.18,21.86,14.75,22.15,27.05,12.3,2.61,1.18,2.38,5.29,4.11,36.235,-41.6949999999999,0,1,1,0,41.6949999999999,5.45999999999992,36.235
Rufous-tailed Lark,Ammomanes_phoenicura,non-migrant,651,703.65,705.54,703.65,703.65,817.38,692,703.65,703.65,0,0,0,28,25.6,Omnivore,101.31,0,27.98,621.19,621.19,24.33,19.75,24.15,29.05,9.3,2.74,0.92,2.53,6.2,5.28,0,0,0,0,0,0,0,0,0
Ashy-crowned Sparrow-Lark,Eremopterix_griseus,non-migrant,370.71,501.53,613.97,526.14,667.44,703.65,606.68,619,635.5,165.91,-48.4400000000001,-117.47,29.5,16,Granivore,82.51,0.01,44.14,359.9,359.89,25.43,20.75,25.25,30.45,9.7,2.97,0.96,2.66,6.69,5.73,0,0,0,0,0,0,165.91,48.4400000000001,117.47
Jerdon's Bushlark,Mirafra_affinis,non-migrant,463.76,474,485.7,471.56,474,487.5,463.76,463.76,471.56,0,-10.24,10.24,18.4,26.2,Omnivore,89.96,0.43,65.63,313.75,313.32,25.78,21.65,25.55,30.55,8.9,3.27,1.41,2.97,6.69,5.28,0,0,0,0,0,0,0,10.24,10.24
Oriental Skylark,Alauda_gulgula,non-migrant,337.54,436.32,463.76,375.26,528.25,703.65,405.42,463.76,463.76,91.93,-64.49,-27.44,27.5,26.3,Omnivore,123.72,0.75,84.26,456.42,455.67,24.98,16.25,25.35,30.35,14.1,3.44,1.23,3.18,7.29,6.06,0,0,0,0,0,0,91.93,64.49,27.44
Malabar Lark,Galerida_malabarica,non-migrant,685.71,801.91,955.78,792.865,974.045,1136.23,671.41,711.625,805.94,172.135,-262.42,90.285,29.2,38.2,Omnivore,222.71,0.01,70.67,1299.91,1299.9,22.75,14.65,23.05,28.25,13.6,3.32,1.41,2.97,7.27,5.86,0,0,0,0,0,0,172.135,262.42,90.285
Common Tailorbird,Orthotomus_sutorius,migrant,684.755,717.505,734.26,588.71,611.94,622.82,592.11,612.31,629.59175,-105.565,0.369999999999891,105.195,10.4,7.5,Invertivore,177.15,0.3,93.97,854.78,854.48,24.47,19.85,24.55,29.55,9.7,2.61,0.89,2.35,5.77,4.88,105.195,-105.565,0,1,1,0,105.565,0.369999999999891,105.195
Gray-breasted Prinia,Prinia_hodgsonii,migrant,931.88,952.31,1017,734.97,758.23,769.88,714.22,728.42,750.65,-194.08,-29.8100000000001,223.89,10.7,6.4,Invertivore,197.6,0.24,116.71,905.08,904.84,23.76,19.55,23.55,29.05,9.5,2.5,0.9,2.21,5.75,4.85,223.89,-194.08,0,1,1,0,194.08,29.8100000000001,223.89
Jungle Prinia,Prinia_sylvatica,non-migrant,484.095,516.07,614.78,507.97,536.47,617.25,579.34275,617.25,640.59,20.4,80.78,-101.18,10.4,16.1,Invertivore,107.02,0.06,56.41,564.07,564.01,25.29,20.25,25.15,30.45,10.2,2.95,1.21,2.69,6.17,4.95,0,0,0,0,0,0,20.4,80.78,101.18
Ashy Prinia,Prinia_socialis,migrant,672.47,703.65,728.42,587.53,590.46,611.685,616.77,619.145,636.75,-113.19,28.6849999999999,84.505,10.3,8,Invertivore,118.8,0.02,57.46,612.2,612.18,23.94,14.65,24.55,29.95,15.3,3.06,1.18,2.79,6.32,5.14,84.505,-113.19,28.6849999999999,1,1,1,113.19,28.6849999999999,84.505
Plain Prinia,Prinia_inornata,non-migrant,577,617.25,640.59,492.61,588.71,617.25,483.38,548.89,606.39,-28.54,-39.8200000000001,68.36,14.2,7,Invertivore,133.13,0.03,63.54,751.18,751.15,24.86,16.25,25.15,30.45,14.2,2.98,1.05,2.68,6.35,5.3,0,0,0,0,0,0,28.54,39.8200000000001,68.36
Golden-headed Cisticola,Cisticola_exilis,non-migrant,988.51,1216.62,1365.84,988.51,988.51,1087.06,959.5,989.94,1096.12,-228.11,1.43000000000006,226.68,16.4,7,Invertivore,334.4,1.77,164,1577.21,1575.44,21.01,17.35,21.25,24.65,7.3,3.21,1.61,3.09,5.52,3.9,0,0,0,0,0,0,228.11,1.43000000000006,226.68
Clamorous Reed Warbler,Acrocephalus_stentoreus,non-migrant,406.62,550.12,619,56.435,526.14,598.075,577,589.41,619,-23.98,63.27,-39.29,22.6,24.2,Invertivore,158.46,0.02,70.06,810.77,810.75,24.67,18.65,24.75,29.75,11.1,3.01,0.99,2.76,6.2,5.21,0,0,0,0,0,0,23.98,63.27,39.29
Broad-tailed Grassbird,Schoenicola_platyurus,non-migrant,1272.04,1599.565,1888.18,1289,1289,1413.085,902.195,1000.27,2059.18,-310.565,-288.73,599.295,17,20,Invertivore,208.62,0.13,150.99,784.93,784.8,19.79,13.25,19.95,25.35,12.1,3.9,1.23,3.52,8.74,7.51,0,0,0,0,0,0,310.565,288.73,599.295
Flame-throated Bulbul,Rubigula_gularis,non-migrant,276.47,306.85,447.47,365.29,439.28,478.91,311.33,351.88,384.705,132.43,-87.4,-45.03,11.9,29.3,Frugivore,245.91,0.77,163.75,1091.11,1090.34,24.94,20.55,25.25,28.85,8.3,2.12,0.75,1.85,5.1,4.36,0,0,0,0,0,0,132.43,87.4,45.03
Red-vented Bulbul,Pycnonotus_cafer,non-migrant,640.59,641.43,663.72,640.59,640.59,640.59,623.92,635.21,640.59,-0.839999999999918,-5.38,6.21999999999991,16.5,42.9,Omnivore,154.92,0.08,75.53,861.48,861.4,24.34,17.15,24.45,29.65,12.5,2.85,1.07,2.62,5.85,4.78,0,0,0,0,0,0,0.839999999999918,5.38,6.21999999999991
Red-whiskered Bulbul,Pycnonotus_jocosus,migrant,907.45,915.28,923.44,848.97,848.97,848.97,832,839.75,848.97,-66.31,-9.22000000000003,75.53,14.2,29.5,Omnivore,200.74,0.4,122.95,919.41,919.01,22.8,15.05,22.75,28.45,13.4,2.56,0.89,2.33,5.62,4.73,75.53,-66.31,0,1,1,0,66.31,9.22000000000003,75.53
Yellow-throated Bulbul,Pycnonotus_xantholaemus,non-migrant,681.11,681.11,776.88,681.11,757.545,839.65,741.48,776.88,839.65,76.435,19.335,-95.77,13.3,28.1,Frugivore,99.14,0.13,75.31,320.26,320.13,24,19.85,23.85,28.45,8.6,3.21,1.67,2.81,6.78,5.11,0,0,0,0,0,0,76.435,19.335,95.77
White-browed Bulbul,Pycnonotus_luteolus,migrant,613.39,640.59,640.59,558.03,600.355,617.25,525.435,564.345,592.11,-40.235,-36.01,76.245,11.2,34.7,Frugivore,108.51,0.42,71.52,444.61,444.19,25.35,21.15,25.25,30.15,9,3.04,0.98,2.87,6.02,5.04,76.245,0,0,1,0,0,40.235,36.01,76.245
Yellow-eyed Babbler,Chrysomma_sinense,non-migrant,612.31,640.59,640.59,617.25,640.59,640.59,619,640.59,640.59,0,0,0,9.6,17.2,Invertivore,134.82,0,50.17,897.37,897.37,24.69,19.85,24.55,29.45,9.6,3.1,1.34,2.83,6.31,4.97,0,0,0,0,0,0,0,0,0
Indian White-eye,Zosterops_palpebrosus,migrant,1168.22,1171.76,1179.15,1130.505,1134.19,1161.48,1103.59,1125.03,1134.19,-37.5699999999999,-9.16000000000008,46.73,20.7,8.6,Omnivore,176.63,0.29,115.92,721.32,721.03,20.7,13.35,21.25,26.95,13.6,2.75,1.04,2.52,5.76,4.73,46.73,-37.5699999999999,0,1,1,0,37.5699999999999,9.16000000000008,46.73
Tawny-bellied Babbler,Dumetia_hyperythra,non-migrant,681.11,703.65,740.875,640.59,681.11,703.65,640.59,640.59,681.11,-22.54,-40.52,63.06,7,12.9,Invertivore,122.54,0.16,71.3,591.77,591.61,24.28,18.95,24.15,29.55,10.6,2.97,1.01,2.75,6.17,5.16,0,0,0,0,0,0,22.54,40.52,63.06
Dark-fronted Babbler,Dumetia_atriceps,non-migrant,734.38,766.34,811.41,647.09,723.2,765.41,761.67,807.615,818.26,-43.14,84.415,-41.275,7.2,16.3,Invertivore,243.22,0.47,146.67,1138.56,1138.09,23.42,18.85,23.15,28.15,9.3,2.38,0.81,2.1,5.56,4.75,0,0,0,0,0,0,43.14,84.415,41.275
Indian Scimitar-Babbler,Pomatorhinus_horsfieldii,migrant,1087.06,1090.21,1116.41,1087.06,1088.92,1128.47,1033.25,1049.03,1061.56,-1.28999999999996,-39.8900000000001,41.1800000000001,7.9,43,Invertivore,210.34,0.77,147.87,868.8,868.03,21.57,15.25,21.65,27.05,11.8,2.76,0.96,2.48,6.15,5.19,41.1800000000001,0,-39.8900000000001,1,0,1,1.28999999999996,39.8900000000001,41.1800000000001
Puff-throated Babbler,Pellorneum_ruficeps,migrant,902.59,922.91,941.03,808.29,840.66,848.97,816.81,832.65,848.97,-82.25,-8.00999999999999,90.26,8.6,26,Invertivore,199.94,0.3,109.86,1013.13,1012.83,23.07,17.35,22.85,28.45,11.1,2.71,0.96,2.44,5.94,4.99,90.26,-82.25,0,1,1,0,82.25,8.00999999999999,90.26
Brown-cheeked Fulvetta,Alcippe_poioicephala,migrant,848.86,899.665,942.845,779.2,836.33,877.03,880.085,908.39,923.52,-63.3349999999999,72.06,-8.72500000000002,10.9,20.7,Invertivore,231.68,0.26,142.89,1107.94,1107.68,22.81,16.85,22.65,28.15,11.3,2.56,0.83,2.25,5.98,5.16,0,0,72.06,0,0,1,63.3349999999999,72.06,8.72500000000002
Nilgiri Laughingthrush,Montecincla_cachinnans,non-migrant,2068.49,2084.97,2115.28,2084.97,2198.15,2306.105,2084.97,2217.56,2253.5,113.18,19.4099999999999,-132.59,7.8,40.3,Invertivore,114.8,1.83,92.69,365.87,364.04,14.62,9.25,14.75,19.55,10.3,3.58,2.04,3.35,6.33,4.29,0,0,0,0,0,0,113.18,19.4099999999999,132.59
Palani Laughingthrush,Montecincla_fairbanki,migrant,1594.819375,1619.74,1642.41,1761.71,1823.7,1853.93,1660.15,1660.15,1706.73,203.96,-163.55,-40.4100000000001,7.1,45.5,Invertivore,173.33,2.3,153.14,487.75,485.45,17.41,12.85,17.65,21.75,8.9,3.35,1.29,3.08,7.02,5.73,-40.4100000000001,203.96,-163.55,1,1,1,203.96,163.55,40.4100000000001
Ashambu Laughingthrush,Montecincla_meridionalis,non-migrant,1235.06,1299.97,1317.82,837.31,1236.62,1250.55,1231.97,1237.61,1279.895,-63.3500000000001,0.990000000000009,62.3600000000001,7.1,40.3,Invertivore,168.35,3.12,141.18,483.16,480.04,20.91,16.64,20.95,24.05,7.41,4.61,2.1,4.01,10.87,8.77,0,0,0,0,0,0,63.3500000000001,0.990000000000009,62.3600000000001
Large Gray Babbler,Argya_malcolmi,migrant,409.845,483.38,525.93,528.32,588.71,612.31,587.53,592.57,609.74,105.33,3.86000000000001,-109.19,15.4,75.7,Invertivore,82.8,0,39.76,369.66,369.66,25.44,20.55,25.25,30.15,9.6,3.49,1.63,3.11,7.89,6.26,-109.19,105.33,0,1,1,0,105.33,3.86000000000001,109.19
Rufous Babbler,Argya_subrufa,migrant,1002.57,1024.755,1061.26,925.14,950.225,988.51,923.61,933.74,959.5,-74.5300000000001,-16.485,91.0150000000001,7,66.7,Invertivore,236.84,1.69,173.82,965.08,963.39,22.59,18.65,22.25,27.55,8.9,2.35,0.87,2.04,5.6,4.73,91.0150000000001,-74.5300000000001,0,1,1,0,74.5300000000001,16.485,91.0150000000001
Jungle Babbler,Argya_striata,migrant,568.645,619.11,654.29,318.03,372.76,421.38,462,519.24,553,-246.35,146.48,99.87,9.5,66,Omnivore,200.26,0.22,115.78,983.63,983.41,24.4,16.35,25.15,29.15,12.8,2.5,0.88,2.27,5.56,4.68,99.87,-246.35,146.48,1,1,1,246.35,146.48,99.87
Yellow-billed Babbler,Argya_affinis,migrant,416.35,424.62,425.32,408.88,417.24,424.62,463.12,463.76,463.76,-7.38,46.52,-39.14,11.8,63.3,Invertivore,109.93,0.71,70.31,493.82,493.11,25.92,21.85,25.85,30.25,8.4,3.07,1,2.87,6.3,5.3,-39.14,0,46.52,1,0,1,7.38,46.52,39.14
Wayanad Laughingthrush,Pterorhinus_delesserti,non-migrant,840.81,963.815,1087.99,882.805,1083.655,1100.38,949,1015.88,1082.345,119.84,-67.775,-52.065,5.4,78,Invertivore,213.38,2.17,159.4,870.32,868.15,21.88,17.65,21.85,26.12,8.47,2.66,1.03,2.37,5.94,4.91,0,0,0,0,0,0,119.84,67.775,52.065
Indian Nuthatch,Sitta_castanea,non-migrant,945.32,952.18,956.47,926.43,945.32,979.46,930.91,944.56,966.69,-6.8599999999999,-0.760000000000105,7.62000000000001,22.5,19.6,Invertivore,89.6,0.4,62.65,341.92,341.52,22.65,19.05,22.45,26.15,7.1,3.12,1.53,2.85,6.05,4.53,0,0,0,0,0,0,6.8599999999999,0.760000000000105,7.62000000000001
Velvet-fronted Nuthatch,Sitta_frontalis,non-migrant,935.44,970.05,1017,902.59,935.44,963.18,906.15,922.85,940,-34.6099999999999,-12.59,47.1999999999999,23,16.5,Invertivore,194.13,1.15,138.79,760.28,759.13,21.94,14.25,22.15,27.75,13.5,2.54,0.88,2.31,5.58,4.7,0,0,0,0,0,0,34.6099999999999,12.59,47.1999999999999
Southern Hill Myna,Gracula_indica,non-migrant,829.12,836.5,850.52,848.97,850.47,862.575,837.085,848.97,856.18,13.97,-1.5,-12.47,24.2,192,Frugivore,208.3,1.51,157.42,793.88,792.37,23.44,18.45,23.05,28.55,10.1,2.35,0.8,2.11,5.46,4.67,0,0,0,0,0,0,13.97,1.5,12.47
Brahminy Starling,Sturnia_pagodarum,migrant,859.51,918.16,945.32,724.405,769.88,863.76,703.65,728.42,736.14,-148.28,-41.46,189.74,27.3,48.9,Omnivore,101.95,0,54.84,513.06,513.06,24.19,19.85,23.85,29.75,9.9,3.19,1.12,3,6.34,5.22,189.74,0,0,1,0,0,148.28,41.46,189.74
Chestnut-tailed Starling,Sturnia_malabarica,non-migrant,389.795,519.235,589.17,121.265,470.41,671.25,463.76,463.76,471.56,-48.825,-6.65000000000003,55.475,30.5,39.6,Omnivore,180.64,0.47,95.89,867.11,866.64,24.97,20.55,25.15,29.55,9,2.52,0.95,2.33,5.27,4.32,0,0,0,0,0,0,48.825,6.65000000000003,55.475
Malabar Starling,Sturnia_blythii,non-migrant,736.03,755.62,768.88,711.25,746.97,786.105,591.92,700.26,738.57,-8.64999999999998,-46.71,55.36,30.4,39.6,Omnivore,217.67,0.9,147.22,912.7,911.8,24.34,20.65,24.15,28.95,8.3,2.23,0.87,2.04,4.64,3.77,0,0,0,0,0,0,8.64999999999998,46.71,55.36
Common Myna,Acridotheres_tristis,migrant,424.47,425.32,437.21,433.56,453.225,463.76,456.97,463.76,463.76,27.905,10.535,-38.44,23.6,116.4,Omnivore,139.02,0.18,73.19,679.85,679.67,25.37,20.55,25.55,29.95,9.4,2.87,0.95,2.64,6.1,5.15,-38.44,0,0,1,0,0,27.905,10.535,38.44
Jungle Myna,Acridotheres_fuscus,migrant,1081.19,1090.21,1104.705,945.32,971.46,1017,945.32,956.97,983.24,-118.75,-14.49,133.24,24.7,82.8,Omnivore,174.19,0.46,117.03,630.58,630.12,21.91,14.25,22.05,28.15,13.9,2.54,0.92,2.36,5.36,4.44,133.24,-118.75,0,1,1,0,118.75,14.49,133.24
Indian Blackbird,Turdus_simillimus,migrant,1525.795,1554.085,1606.06,1191.41,1289,1454.12,874.63,940.12,988.51,-265.085,-348.88,613.965,20.8,102.7,Omnivore,187.25,0.12,104.28,969.22,969.1,20.72,12.35,21.15,28.45,16.1,2.93,1.05,2.7,6.12,5.07,613.965,-265.085,-348.88,1,1,1,265.085,348.88,613.965
Indian Robin,Copsychus_fulicatus,non-migrant,617.25,633.23,640.59,592.735,612.31,617.25,617.25,624.66,640.03,-20.9200000000001,12.35,8.57000000000005,7.7,16.6,Invertivore,115.75,0,56.7,652.16,652.16,25.09,20.35,24.95,30.15,9.8,3.03,1.11,2.81,6.08,4.97,0,0,0,0,0,0,20.9200000000001,12.35,8.57000000000005
Oriental Magpie-Robin,Copsychus_saularis,migrant,808.29,826.38,846.65,726.71,734.97,749.66,728.42,731.535,748.12,-91.41,-3.43500000000006,94.845,19.1,36,Invertivore,194.54,0.23,111.88,904.96,904.73,23.75,17.75,23.65,29.05,11.3,2.41,0.88,2.22,5.17,4.3,94.845,-91.41,0,1,1,0,91.41,3.43500000000006,94.845
White-rumped Shama,Copsychus_malabaricus,non-migrant,589.17,590.28,641.7,589.17,589.17,641.94,589.17,589.17,633.4,-1.11000000000001,0,1.11000000000001,17.7,29.2,Invertivore,189.15,0.03,73.41,1117.98,1117.95,24.24,20.55,23.95,28.55,8,2.45,1.02,2.25,4.82,3.8,0,0,0,0,0,0,1.11000000000001,0,1.11000000000001
Nilgiri Sholakili,Sholicola_major,non-migrant,1878.71,1996.57,2084.97,1836.91,1971.06,2084.97,2084.97,2203.2,2224.19,-25.51,232.14,-206.63,12.3,38.5,Invertivore,126.85,1.88,94.38,425.69,423.81,15.25,9.95,15.15,20.15,10.2,3.34,1.95,3.13,5.86,3.91,0,0,0,0,0,0,25.51,232.14,206.63
White-bellied Sholakili,Sholicola_albiventris,non-migrant,1849.9,1972.2,2103.71,1922.535,2101.26,2102,1856.65,1919.62,2044.38,129.06,-181.64,52.5800000000002,11.2,38.5,Invertivore,167.84,2.15,145.83,473.14,470.99,16.54,12.45,16.55,21.15,8.7,3.32,1.4,3.09,6.71,5.31,0,0,0,0,0,0,129.06,181.64,52.5800000000002
White-bellied Blue Flycatcher,Cyornis_pallidipes,migrant,633.4,761.23,823.83,589.17,642.19,765.41,589.17,589.17,589.17,-119.04,-53.0200000000001,172.06,15,19,Invertivore,233.95,0.24,138.71,1110.11,1109.87,23.78,17.75,23.75,28.45,10.7,2.24,0.81,1.97,5.31,4.5,172.06,0,0,1,0,0,119.04,53.0200000000001,172.06
Blue-throated Flycatcher,Cyornis_rubeculoides,non-migrant,499.835,678.515,681.11,56.56,529.49,923.61,278.27,427.97,589.17,-149.025,-101.52,250.545,20.9,14.2,Invertivore,180.98,1.69,124.37,709.42,707.73,24.87,19.55,25.35,29.25,9.7,2.52,0.8,2.23,6.09,5.29,0,0,0,0,0,0,149.025,101.52,250.545
Tickell's Blue Flycatcher,Cyornis_tickelliae,migrant,738.23,754.545,763.195,711.59,730.045,751.3,671.41,681.11,700.74,-24.5,-48.935,73.435,19,16.2,Invertivore,168.44,0.08,84.4,892.02,891.94,23.73,16.75,23.75,28.65,11.9,2.52,0.95,2.32,5.09,4.14,73.435,0,-48.935,1,0,1,24.5,48.935,73.435
Nilgiri Flycatcher,Eumyias_albicaudatus,migrant,1814.7,1814.7,1828.62,1719.79,1811.78,1814.7,1660.15,1667.69,1719.94,-2.92000000000007,-144.09,147.01,14.8,16.4,Invertivore,161.08,2.14,127.25,505.11,502.97,17.57,12.15,17.65,23.05,10.9,3.03,1.09,2.85,6.21,5.12,147.01,0,0,1,0,0,2.92000000000007,144.09,147.01
Verditer Flycatcher,Eumyias_thalassinus,non-migrant,604.34,706.22,728.42,589.17,817.38,1003.03,728.42,728.42,728.42,111.16,-88.96,-22.1999999999999,20.9,18.1,Invertivore,202.21,0.05,99.34,1024.36,1024.31,23.64,18.35,23.45,28.45,10.1,2.58,0.88,2.33,5.42,4.54,0,0,0,0,0,0,111.16,88.96,22.1999999999999
Malabar Whistling-Thrush,Myophonus_horsfieldii,migrant,1075.41,1085.57,1088.92,1057.85,1067.85,1081.19,961.596,986.62,997.26,-17.72,-81.2299999999999,98.9499999999999,15.8,117,Aquatic predator,226.97,1.31,176.91,840.44,839.13,22.57,17.55,22.15,28.05,10.5,2.36,0.81,2.06,5.7,4.89,98.9499999999999,0,-81.2299999999999,1,0,1,17.72,81.2299999999999,98.9499999999999
Black-and-orange Flycatcher,Ficedula_nigrorufa,migrant,1814.7,1817.09,1831.67,1840.28,1907.5,1971.06,1817.09,1878.6125,1924.03,90.4100000000001,-28.8875000000001,-61.5225,15.4,9.4,Invertivore,151.64,2.05,119.98,470.1,468.05,16.8,11.65,16.85,21.95,10.3,3.13,1.37,2.95,6.09,4.72,0,90.4100000000001,0,0,1,0,90.4100000000001,28.8875000000001,61.5225
Black Redstart,Phoenicurus_ochruros,non-migrant,176.11,614.105,714.33,526.14,629.63,718.64,629.4,669.94,671,15.525,40.3100000000001,-55.835,23.1,16.5,Invertivore,184.97,0,20.44,1282.14,1282.14,24.67,19.75,24.55,29.25,9.5,3.01,1.49,2.67,5.9,4.42,0,0,0,0,0,0,15.525,40.3100000000001,55.835
Blue Rock-Thrush,Monticola_solitarius,non-migrant,766.74,839.65,967.29,722.03,808.29,979.46,808.29,823.16,893.88,-31.36,14.87,16.49,29.5,53.7,Omnivore,178.98,0.04,86.66,975.56,975.52,22.68,15.35,22.75,28.55,13.2,3.24,1.36,2.86,7.25,5.88,0,0,0,0,0,0,31.36,14.87,16.49
Siberian Stonechat,Saxicola_maurus,non-migrant,66.26,555.275,609.495,526.14,548.89,686.12,526.14,597.69,619,-6.38499999999999,48.8000000000001,-42.4150000000001,20.9,12.6,Invertivore,198.58,0,30.45,1241.31,1241.31,24.87,19.65,25.05,29.55,9.9,2.92,1.35,2.64,5.84,4.49,0,0,0,0,0,0,6.38499999999999,48.8000000000001,42.4150000000001
Brown Rock Chat,Oenanthe_fusca,non-migrant,718.64,718.64,718.64,718.64,718.64,957.53,642.555,713.405,885.88,0,-5.23500000000001,5.23500000000001,20.1,12.7,Invertivore,124.05,0,16.52,599.74,599.74,23.8,19.15,23.65,28.45,9.3,3.36,1.81,2.94,6.94,5.13,0,0,0,0,0,0,0,5.23500000000001,5.23500000000001
Thick-billed Flowerpecker,Dicaeum_agile,non-migrant,592.68,640.59,681.11,568.91,602.46,640.59,613.65,640.59,681.11,-38.13,38.13,0,25.1,9,Frugivore,196.06,0.02,82.58,1122.04,1122.02,24.28,18.95,24.35,28.95,10,2.71,0.97,2.48,5.63,4.66,0,0,0,0,0,0,38.13,38.13,0
Pale-billed Flowerpecker,Dicaeum_erythrorhynchos,non-migrant,408.88,425.69,461.985,406.81,414.1,426.705,424.62,449.485,463.76,-11.59,35.385,-23.795,21,6.3,Frugivore,163.09,0.4,91.9,739.46,739.06,25.31,20.45,25.55,29.75,9.3,2.73,0.88,2.53,5.83,4.95,0,0,0,0,0,0,11.59,35.385,23.795
Nilgiri Flowerpecker,Dicaeum_concolor,migrant,918.18,926.355,950.06,848.97,850.94,857.25,883.85,891.66,900.635375,-75.415,40.7199999999999,34.6950000000001,20.3,6.2,Omnivore,212.6,1.26,149.89,878.47,877.21,22.62,15.45,22.45,28.05,12.6,2.45,0.84,2.19,5.64,4.79,34.6950000000001,-75.415,40.7199999999999,1,1,1,75.415,40.7199999999999,34.6950000000001
Purple-rumped Sunbird,Leptocoma_zeylonica,non-migrant,463.76,475.12,511.54,448.09,461.82,471.56,463.76,463.76,471.56,-13.3,1.94,11.36,13.9,8.8,Omnivore,180.25,0.24,90.34,942.09,941.85,25.08,20.45,25.25,29.55,9.1,2.62,0.88,2.4,5.65,4.76,0,0,0,0,0,0,13.3,1.94,11.36
Crimson-backed Sunbird,Leptocoma_minima,migrant,826.85,843.22,860.6,833.46,850.07,864.53,789.935,808.29,815.42,6.85000000000002,-41.7800000000001,34.9300000000001,13.6,4.9,Nectarivore,234.35,0.75,145.61,1091.69,1090.94,23.02,16.35,22.95,28.25,11.9,2.38,0.8,2.1,5.51,4.7,34.9300000000001,0,-41.7800000000001,1,0,1,6.85000000000002,41.7800000000001,34.9300000000001
Purple Sunbird,Cinnyris_asiaticus,migrant,554.30375,585.91,597.35,588.71,604.53,617.25,606.38,615.74,621.74,18.62,11.21,-29.83,20.6,8.1,Omnivore,166.64,0.1,83.2,867.74,867.64,24.53,18.65,24.75,29.55,10.9,2.71,0.94,2.47,5.74,4.8,-29.83,0,0,1,0,0,18.62,11.21,29.83
Loten's Sunbird,Cinnyris_lotenius,migrant,752.235,761.92,805.41,681.11,693.54,731.05,640.59,681.11,711.59,-68.38,-12.43,80.8099999999999,15.4,8.8,Nectarivore,205.08,1.02,121.65,925.18,924.16,24.19,19.95,24.05,29.15,9.2,2.58,0.89,2.36,5.56,4.67,80.8099999999999,-68.38,0,1,1,0,68.38,12.43,80.8099999999999
Vigors's Sunbird,Aethopyga_vigorsii,non-migrant,169.65,254.5,570.94,144.92,192.795,204.385,176.11,390.26,565.19,-61.705,197.465,-135.76,15.6,6.7,Nectarivore,298.75,0,25.05,1695.64,1695.64,25.21,19.65,25.65,29.35,9.7,2.66,1.2,2.39,5.66,4.46,0,0,0,0,0,0,61.705,197.465,135.76
Little Spiderhunter,Arachnothera_longirostra,migrant,697.985,748.88,761.44,581.99925,638.22,706.615,724.17,751.96,766.635,-110.66,113.74,-3.08000000000004,14.1,12.5,Nectarivore,239.76,0.92,150.94,1091.3,1090.38,23.82,19.25,23.75,28.35,9.1,2.11,0.78,1.88,4.81,4.03,0,0,113.74,0,0,1,110.66,113.74,3.08000000000004
Asian Fairy-bluebird,Irena_puella,non-migrant,786.67,826.69,841.500624999999,698.62,751.5,796.97,766.06,807.44,822.77,-75.1900000000001,55.9400000000001,19.25,25.3,64.9,Frugivore,221.03,1.16,151.84,947.31,946.15,23.76,19.15,23.55,28.65,9.5,2.4,0.78,2.12,5.6,4.81,0,0,0,0,0,0,75.1900000000001,55.9400000000001,19.25
